query,brand,attributes,product_type,tokens,bioes_tags,augmented_query,brand_added
10 rupees chips,A1 Chips,['10 rupees'],chips,"['10', 'rupees', 'chips', 'A1', 'Chips']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",10 rupees chips A1 Chips,True
wok tok noodles,TokiBaby,[],noodles,"['wok', 'tok', 'noodles', 'TokiBaby']","['O', 'O', 'S-ProductType', 'S-Brand']",wok tok noodles TokiBaby,True
vitamin c tablets,Vitamin,['vitamin c'],tablets,"['vitamin', 'c', 'tablets']","['S-Brand', 'O', 'S-ProductType']",vitamin c tablets,False
khatta mitha namkeen,Gurujee Namkeen,"['khatta', 'mitha']",namkeen,"['khatta', 'mitha', 'namkeen', 'Gurujee', 'Namkeen']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",khatta mitha namkeen Gurujee Namkeen,True
white sesame oil,Oilatum,['white'],sesame oil,"['white', 'sesame', 'oil', 'Oilatum']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",white sesame oil Oilatum,True
kapiva shilajit resin,Kapiva,['shilajit resin'],,"['kapiva', 'shilajit', 'resin']","['S-Brand', 'B-Attribute', 'E-Attribute']",kapiva shilajit resin,False
kanodia mustard oil,Priya Oil,[],mustard oil,"['kanodia', 'mustard', 'oil', 'Priya', 'Oil']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",kanodia mustard oil Priya Oil,True
kinder joy horry potter,Kinder Joy,['horry potter'],,"['kinder', 'joy', 'horry', 'potter']","['B-Brand', 'E-Brand', 'B-Attribute', 'E-Attribute']",kinder joy horry potter,False
sunsilk hair conditioner,Sunsilk,[],hair conditioner,"['sunsilk', 'hair', 'conditioner']","['S-Brand', 'B-ProductType', 'E-ProductType']",sunsilk hair conditioner,False
jai kashi wicks,Jai Kashi,[],wicks,"['jai', 'kashi', 'wicks']","['B-Brand', 'E-Brand', 'S-ProductType']",jai kashi wicks,False
biotique hair color,Biotique,[],hair color,"['biotique', 'hair', 'color']","['S-Brand', 'B-ProductType', 'E-ProductType']",biotique hair color,False
biscuit 10 rs,Bisotab,['10 rs'],biscuit,"['biscuit', '10', 'rs', 'Bisotab']","['S-ProductType', 'B-Attribute', 'E-Attribute', 'S-Brand']",biscuit 10 rs Bisotab,True
jockey underwear for men,Jockey,['for men'],underwear,"['jockey', 'underwear', 'for', 'men']","['S-Brand', 'S-ProductType', 'B-Attribute', 'E-Attribute']",jockey underwear for men,False
pierre cardin pen,Pierre Cardin,[],pen,"['pierre', 'cardin', 'pen']","['B-Brand', 'E-Brand', 'S-ProductType']",pierre cardin pen,False
mirinda orange drinks,Mirinda,['orange'],drinks,"['mirinda', 'orange', 'drinks']","['S-Brand', 'S-Attribute', 'S-ProductType']",mirinda orange drinks,False
streax hair highlight,Streax,['hair highlight'],,"['streax', 'hair', 'highlight']","['S-Brand', 'B-Attribute', 'E-Attribute']",streax hair highlight,False
bata women's footwear,Bata,"[""women's""]",footwear,"['bata', ""women's"", 'footwear']","['S-Brand', 'S-Attribute', 'S-ProductType']",bata women's footwear,False
mosquito repellent cream,Classic Mosquito Net,"['mosquito', 'repellent', 'cream']",,"['mosquito', 'repellent', 'cream', 'Classic', 'Mosquito', 'Net']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",mosquito repellent cream Classic Mosquito Net,True
pee safe panty liners,Pee Safe,[],panty liners,"['pee', 'safe', 'panty', 'liners']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",pee safe panty liners,False
body lotion parachute,Parachute,[],body lotion,"['body', 'lotion', 'parachute']","['B-ProductType', 'E-ProductType', 'S-Brand']",body lotion parachute,False
baby safety helmet,,[],helmet,"['baby', 'safety', 'helmet']","['O', 'O', 'S-ProductType']",baby safety helmet,False
bombay banta lemon,Bombay Banta,['lemon'],,"['bombay', 'banta', 'lemon']","['B-Brand', 'E-Brand', 'S-Attribute']",bombay banta lemon,False
main door lock,,[],door lock,"['main', 'door', 'lock']","['O', 'B-ProductType', 'E-ProductType']",main door lock,False
kojic skin whitening soap,,"['kojic', 'skin whitening']",soap,"['kojic', 'skin', 'whitening', 'soap']","['S-Attribute', 'B-Attribute', 'E-Attribute', 'S-ProductType']",kojic skin whitening soap,False
sakthi sambhar masala,Sakthi,['sambhar'],masala,"['sakthi', 'sambhar', 'masala']","['S-Brand', 'S-Attribute', 'S-ProductType']",sakthi sambhar masala,False
oziva daily protein,OZiva,[],protein,"['oziva', 'daily', 'protein']","['S-Brand', 'O', 'S-ProductType']",oziva daily protein,False
fortune soya health,Fortune,"['soya', 'health']",,"['fortune', 'soya', 'health']","['S-Brand', 'S-Attribute', 'S-Attribute']",fortune soya health,False
centrum ostocalcium total,Centrum,"['ostocalcium', 'total']",,"['centrum', 'ostocalcium', 'total']","['S-Brand', 'S-Attribute', 'S-Attribute']",centrum ostocalcium total,False
quench sheet mask,Quench Botanics,[],sheet mask,"['quench', 'sheet', 'mask', 'Quench', 'Botanics']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",quench sheet mask Quench Botanics,True
bare anatomy anti,Bare Anatomy,['anti'],,"['bare', 'anatomy', 'anti']","['B-Brand', 'E-Brand', 'S-Attribute']",bare anatomy anti,False
veet hair cream,Veet,[],hair cream,"['veet', 'hair', 'cream']","['S-Brand', 'B-ProductType', 'E-ProductType']",veet hair cream,False
ice cream small,Hocco Ice Creams,['small'],ice cream,"['ice', 'cream', 'small', 'Hocco', 'Ice', 'Creams']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",ice cream small Hocco Ice Creams,True
